,보증금액,월세금액,관리금액,권리금,층,면적
1,1000,60,3,1500,1,23.14
2,5000,175,0,10000,1,19.83
4,1000,75,0,2800,1,33.06
5,2000,120,5,2000,1,49.59
7,5000,300,0,2000,1,109.09
8,1500,130,10,0,2,66.1
9,1500,127,10,6000,1,69.42
10,5000,290,0,0,1,60.0
11,5000,250,7,19000,1,72.73
14,500,60,0,300,1,33.06
15,3000,170,10,3000,1,46.28
16,1000,90,0,5000,1,33.06
17,1000,80,0,2000,1,33.06
18,3000,190,1,5000,1,46.28
19,1500,130,0,13500,1,36.36
20,2000,150,10,5000,1,56.2
22,2000,120,5,2000,1,29.8
23,3000,150,10,8000,1,39.67
26,3000,160,36,7000,2,55.0
27,1000,90,2,5000,1,30.0
28,6000,340,40,1200,1,82.64
29,3000,220,10,4000,1,69.42
30,2000,150,0,10000,1,95.0
31,1000,100,2,4000,1,16.53
32,2000,160,0,5000,1,29.75
33,6000,300,0,10000,1,36.36
34,1000,70,0,10000,1,26.45
35,1000,80,6,1000,1,49.59
36,1000,100,0,5000,1,33.06
37,1000,70,3,4500,1,46.28
38,4000,350,0,0,2,160.0
39,2000,160,3,10000,1,63.93
40,3500,189,0,9500,1,23.14
41,3000,160,20,0,1,51.5
42,2000,170,10,1450,1,33.1
43,3000,190,0,3000,2,59.5
44,1500,150,0,4000,1,88.02
45,300,59,0,13000,1,29.75
46,6000,230,0,12000,1,132.23
47,5000,280,7,17000,1,73.54
50,2000,135,5,7500,1,59.5
52,4000,330,0,0,1,66.1
54,2000,180,0,5000,1,50.0
56,1000,150,15,15000,1,115.7
57,3000,130,5,2500,1,29.75
58,3000,110,0,5000,1,82.64
59,2000,150,1,2500,1,49.59
60,2000,120,3,3500,1,84.0
61,6000,550,0,0,1,174.0
62,2000,150,0,3000,-1,46.94
63,2000,80,10,9000,1,26.45
66,1500,65,0,3500,1,40.0
67,2000,120,0,8000,1,59.5
68,2000,55,0,3000,1,46.28
69,6000,500,0,4000,1,132.2
70,500,40,0,2000,1,19.83
71,5000,250,15,0,1,66.12
72,1000,120,15,2500,1,26.45
73,5000,270,0,18000,1,56.2
74,2000,80,0,8000,1,49.59
75,1000,50,0,4000,1,33.06
77,1000,100,0,3500,1,33.06
79,2500,252,31,0,1,66.1
80,4000,225,50,11000,1,42.98
81,2000,200,0,10000,2,79.34
82,9200,920,60,0,1,113.7
83,1000,60,3,1000,1,18.45
84,3000,270,11,0,1,77.0
85,4000,350,30,0,1,72.7
86,1500,170,0,3200,1,29.8
88,2000,120,0,18000,1,92.56
